video_id,lang,text,timecode
wYfpHbC0fC4,English - CC1,,0:00 / 8:49
wYfpHbC0fC4,English - CC1,,0:01 / 8:49
wYfpHbC0fC4,English - CC1,,0:02 / 8:49
wYfpHbC0fC4,English - CC1,,0:03 / 8:49
wYfpHbC0fC4,English - CC1,,0:04 / 8:49
wYfpHbC0fC4,English - CC1,,0:05 / 8:49
wYfpHbC0fC4,English - CC1,,0:06 / 8:49
wYfpHbC0fC4,English - CC1,,0:07 / 8:49
wYfpHbC0fC4,English - CC1,,0:08 / 8:49
wYfpHbC0fC4,English - CC1,,0:09 / 8:49
wYfpHbC0fC4,English - CC1,,0:10 / 8:49
wYfpHbC0fC4,English - CC1,,0:11 / 8:49
wYfpHbC0fC4,English - CC1,,0:12 / 8:49
wYfpHbC0fC4,English - CC1,,0:13 / 8:49
wYfpHbC0fC4,English - CC1,,0:14 / 8:49
wYfpHbC0fC4,English - CC1,,0:15 / 8:49
wYfpHbC0fC4,English - CC1,,0:16 / 8:49
wYfpHbC0fC4,English - CC1,,0:17 / 8:49
wYfpHbC0fC4,English - CC1,,0:18 / 8:49
wYfpHbC0fC4,English - CC1,,0:19 / 8:49
wYfpHbC0fC4,English - CC1,,0:20 / 8:49
wYfpHbC0fC4,English - CC1,,0:21 / 8:49
wYfpHbC0fC4,English - CC1,,0:22 / 8:49
wYfpHbC0fC4,English - CC1,,0:23 / 8:49
wYfpHbC0fC4,English - CC1,,0:24 / 8:49
wYfpHbC0fC4,English - CC1,,0:25 / 8:49
wYfpHbC0fC4,English - CC1,,0:26 / 8:49
wYfpHbC0fC4,English - CC1,,0:27 / 8:49
wYfpHbC0fC4,English - CC1,,0:28 / 8:49
wYfpHbC0fC4,English - CC1,,0:29 / 8:49
wYfpHbC0fC4,English - CC1,,0:30 / 8:49
wYfpHbC0fC4,English - CC1,,0:31 / 8:49
wYfpHbC0fC4,English - CC1,,0:32 / 8:49
wYfpHbC0fC4,English - CC1,,0:33 / 8:49
wYfpHbC0fC4,English - CC1,,0:34 / 8:49
wYfpHbC0fC4,English - CC1,,0:35 / 8:49
wYfpHbC0fC4,English - CC1,,0:36 / 8:49
wYfpHbC0fC4,English - CC1,,0:37 / 8:49
wYfpHbC0fC4,English - CC1,,0:38 / 8:49
wYfpHbC0fC4,English - CC1,,0:39 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY,0:40 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH.,0:40 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH.,0:41 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH.,0:42 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH.,0:43 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH.,0:44 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH.,0:45 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH.,0:46 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH.,0:47 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH.,0:48 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH.,0:49 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH.,0:50 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH.,0:51 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH.,0:52 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH.,0:53 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH.,0:54 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH.,0:55 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH.,0:56 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH.,0:57 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH.,0:58 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH.,0:59 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH.,1:00 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH.,1:01 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH.,1:02 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH.,1:03 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH.,1:04 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH.,1:05 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH.,1:06 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH.,1:07 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH.,1:08 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH.,1:09 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH.,1:10 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH.,1:11 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH.,1:12 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH.,1:13 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH.,1:14 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH.,1:15 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH.,1:16 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH.,1:17 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH.,1:18 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH.,1:19 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH.,1:20 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH. MISSTEP THERE.,1:21 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH. MISSTEP THERE.,1:22 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH. MISSTEP THERE.,1:23 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH. MISSTEP THERE.,1:24 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH. MISSTEP THERE.,1:25 / 8:49
wYfpHbC0fC4,English - CC1,ON THE WAY THROUGH. MISSTEP THERE.,1:26 / 8:49
