video_id,lang,text,timecode
wvOAA1U0li8,English,Hari: You can't save yourselves.,0:00 / 2:20
wvOAA1U0li8,English,Hari: You can't save yourselves.,0:01 / 2:20
wvOAA1U0li8,English,Hari: But you can save your legacy.,0:02 / 2:20
wvOAA1U0li8,English,Hari: But you can save your legacy.,0:03 / 2:20
wvOAA1U0li8,English,♪♪,0:04 / 2:20
wvOAA1U0li8,English,♪♪,0:05 / 2:20
wvOAA1U0li8,English,♪♪,0:06 / 2:20
wvOAA1U0li8,English,,0:07 / 2:20
wvOAA1U0li8,English,♪♪,0:08 / 2:20
wvOAA1U0li8,English,♪♪,0:09 / 2:20
wvOAA1U0li8,English,♪♪,0:10 / 2:20
wvOAA1U0li8,English,♪♪,0:11 / 2:20
wvOAA1U0li8,English,(Walking) (Water drips),0:12 / 2:20
wvOAA1U0li8,English,(Walking) (Water drips),0:13 / 2:20
wvOAA1U0li8,English,(Walking) (Water drips),0:14 / 2:20
wvOAA1U0li8,English,(Walking) (Water drips),0:15 / 2:20
wvOAA1U0li8,English,(Walking) (Water drips),0:16 / 2:20
wvOAA1U0li8,English,(Walking) (Water drips),0:17 / 2:20
wvOAA1U0li8,English,(Walking) (Water drips),0:18 / 2:20
wvOAA1U0li8,English,(Walking) (Water drips),0:19 / 2:20
wvOAA1U0li8,English,(Walking) (Water drips),0:20 / 2:20
wvOAA1U0li8,English,Demerzel: You can't be here.,0:20 / 2:20
wvOAA1U0li8,English,Demerzel: You can't be here.,0:21 / 2:20
wvOAA1U0li8,English,Demerzel: You can't be here.,0:22 / 2:20
wvOAA1U0li8,English,Demerzel: You can't be here.,0:23 / 2:20
wvOAA1U0li8,English,You know that.,0:24 / 2:20
wvOAA1U0li8,English,I can't be the first one who wanted to see my youngest self.,0:24 / 2:20
wvOAA1U0li8,English,I can't be the first one who wanted to see my youngest self.,0:25 / 2:20
wvOAA1U0li8,English,I can't be the first one who wanted to see my youngest self.,0:26 / 2:20
wvOAA1U0li8,English,I can't be the first one who wanted to see my youngest self.,0:27 / 2:20
wvOAA1U0li8,English,I can't be the first one who wanted to see my youngest self.,0:28 / 2:20
wvOAA1U0li8,English,(Plinked) ♪♪,0:29 / 2:20
wvOAA1U0li8,English,(Plinked) ♪♪,0:30 / 2:20
wvOAA1U0li8,English,(Plinked) ♪♪,0:31 / 2:20
wvOAA1U0li8,English,(Plinked) ♪♪,0:32 / 2:20
wvOAA1U0li8,English,Strange.,0:32 / 2:20
wvOAA1U0li8,English,Strange.,0:33 / 2:20
wvOAA1U0li8,English,Watching yourself being born.,0:34 / 2:20
wvOAA1U0li8,English,Watching yourself being born.,0:35 / 2:20
wvOAA1U0li8,English,♪♪,0:35 / 2:20
wvOAA1U0li8,English,♪♪,0:36 / 2:20
wvOAA1U0li8,English,♪♪,0:37 / 2:20
wvOAA1U0li8,English,♪♪,0:38 / 2:20
wvOAA1U0li8,English,♪♪,0:39 / 2:20
wvOAA1U0li8,English,♪♪,0:40 / 2:20
wvOAA1U0li8,English,♪♪,0:41 / 2:20
wvOAA1U0li8,English,Brother Day: Our genetic dynasty has reigned for almost four-,0:41 / 2:20
wvOAA1U0li8,English,Brother Day: Our genetic dynasty has reigned for almost four-,0:42 / 2:20
wvOAA1U0li8,English,Brother Day: Our genetic dynasty has reigned for almost four-,0:43 / 2:20
wvOAA1U0li8,English,Brother Day: Our genetic dynasty has reigned for almost four-,0:44 / 2:20
wvOAA1U0li8,English,centuries.,0:44 / 2:20
wvOAA1U0li8,English,♪♪,0:45 / 2:20
wvOAA1U0li8,English,♪♪,0:46 / 2:20
wvOAA1U0li8,English,♪♪,0:47 / 2:20
wvOAA1U0li8,English,Brother Day: The might of the Imperium,0:48 / 2:20
wvOAA1U0li8,English,Brother Day: The might of the Imperium,0:49 / 2:20
wvOAA1U0li8,English,(Explosions),0:50 / 2:20
wvOAA1U0li8,English,(Explosions),0:51 / 2:20
wvOAA1U0li8,English,(Explosions),0:52 / 2:20
wvOAA1U0li8,English,Brother Day: has brought peace to thousands of worlds.,0:52 / 2:20
wvOAA1U0li8,English,Brother Day: has brought peace to thousands of worlds.,0:53 / 2:20
wvOAA1U0li8,English,Brother Day: has brought peace to thousands of worlds.,0:54 / 2:20
wvOAA1U0li8,English,Brother Day: has brought peace to thousands of worlds.,0:55 / 2:20
wvOAA1U0li8,English,♪♪,0:56 / 2:20
wvOAA1U0li8,English,♪♪,0:57 / 2:20
wvOAA1U0li8,English,♪♪,0:58 / 2:20
wvOAA1U0li8,English,Brother Day: But the beliefs of one man.,0:58 / 2:20
wvOAA1U0li8,English,Brother Day: But the beliefs of one man.,0:59 / 2:20
wvOAA1U0li8,English,Brother Day: But the beliefs of one man.,1:00 / 2:20
wvOAA1U0li8,English,Brother Day: But the beliefs of one man.,1:01 / 2:20
wvOAA1U0li8,English,♪♪,1:01 / 2:20
wvOAA1U0li8,English,Brother Day: Now threaten the empire's very existence.,1:02 / 2:20
wvOAA1U0li8,English,Brother Day: Now threaten the empire's very existence.,1:03 / 2:20
wvOAA1U0li8,English,Brother Day: Now threaten the empire's very existence.,1:04 / 2:20
wvOAA1U0li8,English,Brother Day: Now threaten the empire's very existence.,1:05 / 2:20
wvOAA1U0li8,English,♪♪,1:06 / 2:20
wvOAA1U0li8,English,♪♪,1:07 / 2:20
wvOAA1U0li8,English,♪♪,1:08 / 2:20
wvOAA1U0li8,English,I'm not a revolutionary.,1:09 / 2:20
wvOAA1U0li8,English,I'm not a revolutionary.,1:10 / 2:20
wvOAA1U0li8,English,♪♪,1:11 / 2:20
wvOAA1U0li8,English,Gaal: His calculations are correct.,1:12 / 2:20
wvOAA1U0li8,English,Gaal: His calculations are correct.,1:13 / 2:20
wvOAA1U0li8,English,The Empire is dying.,1:14 / 2:20
wvOAA1U0li8,English,The Empire is dying.,1:15 / 2:20
wvOAA1U0li8,English,The Empire is dying.,1:16 / 2:20
wvOAA1U0li8,English,Hari: Order will vanish.,1:17 / 2:20
wvOAA1U0li8,English,Hari: Order will vanish.,1:18 / 2:20
wvOAA1U0li8,English,Wars will be endless.,1:19 / 2:20
