video_id,lang,text,timecode
yH9tZ7ZCp-g,English (United States),The following event is rated F for Fortnitemares.,0:00 / 1:04
yH9tZ7ZCp-g,English (United States),The following event is rated F for Fortnitemares.,0:01 / 1:04
yH9tZ7ZCp-g,English (United States),The following event is rated F for Fortnitemares.,0:02 / 1:04
yH9tZ7ZCp-g,English (United States),The following event is rated F for Fortnitemares.,0:03 / 1:04
yH9tZ7ZCp-g,English (United States),,0:03 / 1:04
yH9tZ7ZCp-g,English (United States),,0:04 / 1:04
yH9tZ7ZCp-g,English (United States),This fall,0:05 / 1:04
yH9tZ7ZCp-g,English (United States),,0:06 / 1:04
yH9tZ7ZCp-g,English (United States),vengeance is a dish best served ,0:07 / 1:04
yH9tZ7ZCp-g,English (United States),vengeance is a dish best served ,0:08 / 1:04
yH9tZ7ZCp-g,English (United States),vengeance is a dish best served ,0:09 / 1:04
yH9tZ7ZCp-g,English (United States),gold. ,0:10 / 1:04
yH9tZ7ZCp-g,English (United States),,0:11 / 1:04
yH9tZ7ZCp-g,English (United States),,0:12 / 1:04
yH9tZ7ZCp-g,English (United States),Midas' Revenge,0:12 / 1:04
yH9tZ7ZCp-g,English (United States),Midas' Revenge,0:13 / 1:04
yH9tZ7ZCp-g,English (United States),Midas' Revenge,0:14 / 1:04
yH9tZ7ZCp-g,English (United States),The Shadows,0:15 / 1:04
yH9tZ7ZCp-g,English (United States),will,0:15 / 1:04
yH9tZ7ZCp-g,English (United States),will,0:16 / 1:04
yH9tZ7ZCp-g,English (United States),rise,0:17 / 1:04
yH9tZ7ZCp-g,English (United States),,0:18 / 1:04
yH9tZ7ZCp-g,English (United States),,0:19 / 1:04
yH9tZ7ZCp-g,English (United States),buckle up,0:20 / 1:04
yH9tZ7ZCp-g,English (United States),the Spirit World kicks into ,0:20 / 1:04
yH9tZ7ZCp-g,English (United States),the Spirit World kicks into ,0:21 / 1:04
yH9tZ7ZCp-g,English (United States),the Spirit World kicks into ,0:22 / 1:04
yH9tZ7ZCp-g,English (United States),the Spirit World kicks into ,0:23 / 1:04
yH9tZ7ZCp-g,English (United States),high gear ,0:23 / 1:04
yH9tZ7ZCp-g,English (United States),high gear ,0:24 / 1:04
yH9tZ7ZCp-g,English (United States),high gear ,0:25 / 1:04
yH9tZ7ZCp-g,English (United States),,0:25 / 1:04
yH9tZ7ZCp-g,English (United States),,0:26 / 1:04
yH9tZ7ZCp-g,English (United States),if you can't beat em,0:27 / 1:04
yH9tZ7ZCp-g,English (United States),if you can't beat em,0:28 / 1:04
yH9tZ7ZCp-g,English (United States),join em,0:29 / 1:04
yH9tZ7ZCp-g,English (United States),join em,0:30 / 1:04
yH9tZ7ZCp-g,English (United States),,0:30 / 1:04
yH9tZ7ZCp-g,English (United States),,0:31 / 1:04
yH9tZ7ZCp-g,English (United States),,0:32 / 1:04
yH9tZ7ZCp-g,English (United States),,0:33 / 1:04
yH9tZ7ZCp-g,English (United States),,0:34 / 1:04
yH9tZ7ZCp-g,English (United States),,0:35 / 1:04
yH9tZ7ZCp-g,English (United States),,0:36 / 1:04
