video_id,lang,text,timecode
yLaZPK4Cvow,English,,0:00 / 2:11
yLaZPK4Cvow,English,(gentle music),0:01 / 2:11
yLaZPK4Cvow,English,(gentle music),0:02 / 2:11
yLaZPK4Cvow,English,(gentle music),0:03 / 2:11
yLaZPK4Cvow,English,,0:03 / 2:11
yLaZPK4Cvow,English,,0:04 / 2:11
yLaZPK4Cvow,English,,0:05 / 2:11
yLaZPK4Cvow,English,,0:06 / 2:11
yLaZPK4Cvow,English,,0:07 / 2:11
yLaZPK4Cvow,English,,0:08 / 2:11
yLaZPK4Cvow,English,,0:09 / 2:11
yLaZPK4Cvow,English,,0:10 / 2:11
yLaZPK4Cvow,English,"- Hi Lucy, good morning.",0:11 / 2:11
yLaZPK4Cvow,English,"- Hi Lucy, good morning.",0:12 / 2:11
yLaZPK4Cvow,English,"- Hi Lucy, good morning.",0:13 / 2:11
yLaZPK4Cvow,English,"It's me, Henry.",0:13 / 2:11
yLaZPK4Cvow,English,"It's me, Henry.",0:14 / 2:11
yLaZPK4Cvow,English,"We are on, I think about our 5,000th date together.",0:15 / 2:11
yLaZPK4Cvow,English,"We are on, I think about our 5,000th date together.",0:16 / 2:11
yLaZPK4Cvow,English,"We are on, I think about our 5,000th date together.",0:17 / 2:11
yLaZPK4Cvow,English,"We are on, I think about our 5,000th date together.",0:18 / 2:11
yLaZPK4Cvow,English,"We are on, I think about our 5,000th date together.",0:19 / 2:11
yLaZPK4Cvow,English,It's been great.,0:20 / 2:11
yLaZPK4Cvow,English,It's been great.,0:21 / 2:11
yLaZPK4Cvow,English,I'm gonna catch you up.,0:21 / 2:11
yLaZPK4Cvow,English,I'm gonna catch you up.,0:22 / 2:11
yLaZPK4Cvow,English,(gentle music),0:22 / 2:11
yLaZPK4Cvow,English,(gentle music),0:23 / 2:11
yLaZPK4Cvow,English,(gentle music),0:24 / 2:11
yLaZPK4Cvow,English,You have a thing called amnesia and I am your husband.,0:24 / 2:11
yLaZPK4Cvow,English,You have a thing called amnesia and I am your husband.,0:25 / 2:11
yLaZPK4Cvow,English,You have a thing called amnesia and I am your husband.,0:26 / 2:11
yLaZPK4Cvow,English,You have a thing called amnesia and I am your husband.,0:27 / 2:11
yLaZPK4Cvow,English,You have a thing called amnesia and I am your husband.,0:28 / 2:11
