video_id,lang,text,timecode
yR6SMtkujOU,English,,0:00 / 4:11
yR6SMtkujOU,English,,0:01 / 4:11
yR6SMtkujOU,English,,0:02 / 4:11
yR6SMtkujOU,English,All right man we are finally parents as weird  as weird as that may sound and look because  ,0:03 / 4:11
yR6SMtkujOU,English,All right man we are finally parents as weird  as weird as that may sound and look because  ,0:04 / 4:11
yR6SMtkujOU,English,All right man we are finally parents as weird  as weird as that may sound and look because  ,0:05 / 4:11
yR6SMtkujOU,English,All right man we are finally parents as weird  as weird as that may sound and look because  ,0:06 / 4:11
yR6SMtkujOU,English,All right man we are finally parents as weird  as weird as that may sound and look because  ,0:07 / 4:11
yR6SMtkujOU,English,All right man we are finally parents as weird  as weird as that may sound and look because  ,0:08 / 4:11
yR6SMtkujOU,English,All right man we are finally parents as weird  as weird as that may sound and look because  ,0:09 / 4:11
yR6SMtkujOU,English,All right man we are finally parents as weird  as weird as that may sound and look because  ,0:10 / 4:11
yR6SMtkujOU,English,All right man we are finally parents as weird  as weird as that may sound and look because  ,0:11 / 4:11
yR6SMtkujOU,English,we look like babies ourselves yeah i know  uh this video is not really about our baby  ,0:11 / 4:11
yR6SMtkujOU,English,we look like babies ourselves yeah i know  uh this video is not really about our baby  ,0:12 / 4:11
yR6SMtkujOU,English,we look like babies ourselves yeah i know  uh this video is not really about our baby  ,0:13 / 4:11
yR6SMtkujOU,English,we look like babies ourselves yeah i know  uh this video is not really about our baby  ,0:14 / 4:11
yR6SMtkujOU,English,we look like babies ourselves yeah i know  uh this video is not really about our baby  ,0:15 / 4:11
yR6SMtkujOU,English,we look like babies ourselves yeah i know  uh this video is not really about our baby  ,0:16 / 4:11
yR6SMtkujOU,English,we look like babies ourselves yeah i know  uh this video is not really about our baby  ,0:17 / 4:11
yR6SMtkujOU,English,,0:17 / 4:11
yR6SMtkujOU,English,Think you are the star the show bro that's right  but no like honestly though we're so thankful  ,0:18 / 4:11
yR6SMtkujOU,English,Think you are the star the show bro that's right  but no like honestly though we're so thankful  ,0:19 / 4:11
yR6SMtkujOU,English,Think you are the star the show bro that's right  but no like honestly though we're so thankful  ,0:20 / 4:11
yR6SMtkujOU,English,Think you are the star the show bro that's right  but no like honestly though we're so thankful  ,0:21 / 4:11
yR6SMtkujOU,English,Think you are the star the show bro that's right  but no like honestly though we're so thankful  ,0:22 / 4:11
yR6SMtkujOU,English,Think you are the star the show bro that's right  but no like honestly though we're so thankful  ,0:23 / 4:11
yR6SMtkujOU,English,Think you are the star the show bro that's right  but no like honestly though we're so thankful  ,0:24 / 4:11
yR6SMtkujOU,English,um for everyone that did pray and send us warm  wishes and everything he's healthy he's like our  ,0:25 / 4:11
yR6SMtkujOU,English,um for everyone that did pray and send us warm  wishes and everything he's healthy he's like our  ,0:26 / 4:11
yR6SMtkujOU,English,um for everyone that did pray and send us warm  wishes and everything he's healthy he's like our  ,0:27 / 4:11
yR6SMtkujOU,English,um for everyone that did pray and send us warm  wishes and everything he's healthy he's like our  ,0:28 / 4:11
yR6SMtkujOU,English,um for everyone that did pray and send us warm  wishes and everything he's healthy he's like our  ,0:29 / 4:11
yR6SMtkujOU,English,um for everyone that did pray and send us warm  wishes and everything he's healthy he's like our  ,0:30 / 4:11
yR6SMtkujOU,English,um for everyone that did pray and send us warm  wishes and everything he's healthy he's like our  ,0:31 / 4:11
yR6SMtkujOU,English,um for everyone that did pray and send us warm  wishes and everything he's healthy he's like our  ,0:32 / 4:11
yR6SMtkujOU,English,lives have changed dramatically and it took us  a lot to even like turn this camera on ,0:32 / 4:11
yR6SMtkujOU,English,lives have changed dramatically and it took us  a lot to even like turn this camera on ,0:33 / 4:11
yR6SMtkujOU,English,lives have changed dramatically and it took us  a lot to even like turn this camera on ,0:34 / 4:11
yR6SMtkujOU,English,lives have changed dramatically and it took us  a lot to even like turn this camera on ,0:35 / 4:11
yR6SMtkujOU,English,lives have changed dramatically and it took us  a lot to even like turn this camera on ,0:36 / 4:11
yR6SMtkujOU,English,lives have changed dramatically and it took us  a lot to even like turn this camera on ,0:37 / 4:11
yR6SMtkujOU,English,she ain't have none of this stuff on her face before we pressed play. I looked  like a mushroom that was so sad and i look like a  ,0:38 / 4:11
yR6SMtkujOU,English,she ain't have none of this stuff on her face before we pressed play. I looked  like a mushroom that was so sad and i look like a  ,0:39 / 4:11
yR6SMtkujOU,English,she ain't have none of this stuff on her face before we pressed play. I looked  like a mushroom that was so sad and i look like a  ,0:40 / 4:11
yR6SMtkujOU,English,she ain't have none of this stuff on her face before we pressed play. I looked  like a mushroom that was so sad and i look like a  ,0:41 / 4:11
yR6SMtkujOU,English,she ain't have none of this stuff on her face before we pressed play. I looked  like a mushroom that was so sad and i look like a  ,0:42 / 4:11
yR6SMtkujOU,English,she ain't have none of this stuff on her face before we pressed play. I looked  like a mushroom that was so sad and i look like a  ,0:43 / 4:11
yR6SMtkujOU,English,she ain't have none of this stuff on her face before we pressed play. I looked  like a mushroom that was so sad and i look like a  ,0:44 / 4:11
