"video_id","min_timecode","max_timecode","text.user","text.auto"
"y_yBEDDSDpI","00:00:00","00:00:00","","welcome to monday"
"y_yBEDDSDpI","00:00:01","00:00:01","WHAT","hello i'm len cannon"
"y_yBEDDSDpI","00:00:02","00:00:03","WHAT SECURITY CAMERA FOOTAGE","and i'm mia granny with your news at"
"y_yBEDDSDpI","00:00:04","00:00:04","REVEALS. WELCOME TO","five now wanted by"
"y_yBEDDSDpI","00:00:05","00:00:05","WELCOME TO MONDAY, I'M LEN","houston police"
"y_yBEDDSDpI","00:00:06","00:00:06","CANNON. >>","a large tiger"
"y_yBEDDSDpI","00:00:07","00:00:07","CANNON. >> I'M MIA GRADNEY.","and its"
"y_yBEDDSDpI","00:00:08","00:00:08",">> I'M MIA GRADNEY. WITH NEWS AT","owner the big cat escaped"
"y_yBEDDSDpI","00:00:09","00:00:09","WITH NEWS AT 5. NOW WANTED","from a west houston"
"y_yBEDDSDpI","00:00:10","00:00:10","WITH NEWS AT 5. NOW WANTED BY HOUSTON","home yesterday"
"y_yBEDDSDpI","00:00:11","00:00:11","WITH NEWS AT 5. NOW WANTED BY HOUSTON POLICE, A","yeah this was truly"
"y_yBEDDSDpI","00:00:12","00:00:12","NOW WANTED BY HOUSTON POLICE, A LARGE TIGER","a wild"
"y_yBEDDSDpI","00:00:13","00:00:13","NOW WANTED BY HOUSTON POLICE, A LARGE TIGER AND HIS","scene everybody's talking about"
"y_yBEDDSDpI","00:00:14","00:00:14","LARGE TIGER AND HIS OWNER. HE","cell phone video capturing"
"y_yBEDDSDpI","00:00:15","00:00:15","LARGE TIGER AND HIS OWNER. HE ESCAPED FROM","an"
"y_yBEDDSDpI","00:00:16","00:00:16","LARGE TIGER AND HIS OWNER. HE ESCAPED FROM A HOME","armed off-duty waller county"
"y_yBEDDSDpI","00:00:17","00:00:17","YESTERDAY. LEN: THIS IS A","deputy"
"y_yBEDDSDpI","00:00:18","00:00:20","LEN: THIS IS A WILD SCENE EVERYBODY IS","doing what he could to make sure no one got hurt"
"y_yBEDDSDpI","00:00:26","00:00:29","TO MAKE SURE NO ONE GOT HURT. >> I","you see the deputy with his weapon ordering the tiger's owner to get that animal back"
"y_yBEDDSDpI","00:00:30","00:00:30","I AM. LEN:","inside"
"y_yBEDDSDpI","00:00:31","00:00:31","I AM. LEN: THE DEPUTY WITH THE WEAPON","the house and now"
"y_yBEDDSDpI","00:00:32","00:00:32","LEN: THE DEPUTY WITH THE WEAPON ORDERING","police need your help finding"
"y_yBEDDSDpI","00:00:33","00:00:33","ORDERING THE TIGER'S OWNER TO","this man"
"y_yBEDDSDpI","00:00:34","00:00:34","ORDERING THE TIGER'S OWNER TO GET THAT ANIMAL","the tigers owner"
"y_yBEDDSDpI","00:00:35","00:00:35","ORDERING THE TIGER'S OWNER TO GET THAT ANIMAL BACK","26 year old"
"y_yBEDDSDpI","00:00:36","00:00:36","ORDERING THE TIGER'S OWNER TO GET THAT ANIMAL BACK INSIDE THE","victor ugocuevas"
"y_yBEDDSDpI","00:00:37","00:00:37","HOUSE. MIA:","man the tigers owner 26 year old victor ugocuevas this"
"y_yBEDDSDpI","00:00:38","00:00:38","HOUSE. MIA: POLICE","is a 2017"
"y_yBEDDSDpI","00:00:38","00:00:39","HOUSE. MIA: POLICE NEED","booking photo but"
"y_yBEDDSDpI","00:00:40","00:00:40","HOUSE. MIA: POLICE NEED YOUR","he is currently charged"
"y_yBEDDSDpI","00:00:41","00:00:41","MIA: POLICE NEED YOUR HELP FINDING","with felony"
"y_yBEDDSDpI","00:00:42","00:00:42","MIA: POLICE NEED YOUR HELP FINDING THE TIGER'S","evading arrest"
"y_yBEDDSDpI","00:00:43","00:00:43","FINDING THE TIGER'S OWNER. THIS","for leaving the scene with"
"y_yBEDDSDpI","00:00:43","00:00:44","FINDING THE TIGER'S OWNER. THIS IS","the tiger"
"y_yBEDDSDpI","00:00:45","00:00:45","THIS IS VICTOR. HE IS CHARGED","this all"
"y_yBEDDSDpI","00:00:46","00:00:46","THIS IS VICTOR. HE IS CHARGED WITH","unfolded late"
"y_yBEDDSDpI","00:00:47","00:00:47","HE IS CHARGED WITH FELONY EVADING ARREST","yesterday in a west houston"
"y_yBEDDSDpI","00:00:48","00:00:48","HE IS CHARGED WITH FELONY EVADING ARREST FOR LEAVING THE","neighborhood near highway"
"y_yBEDDSDpI","00:00:49","00:00:49","EVADING ARREST FOR LEAVING THE SCENE WITH THE","6"
"y_yBEDDSDpI","00:00:50","00:00:50","SCENE WITH THE TIGER. THIS","and memorial drive"
"y_yBEDDSDpI","00:00:51","00:00:51","SCENE WITH THE TIGER. THIS UNFOLDED","adam bennett is live"
"y_yBEDDSDpI","00:00:51","00:00:52","SCENE WITH THE TIGER. THIS UNFOLDED LATE YESTERDAY","there with reaction"
"y_yBEDDSDpI","00:00:53","00:00:53","THIS UNFOLDED LATE YESTERDAY IN A","from the deputy"
