video_id,lang,text,timecode
z3Un_C784R8,English,,0:00 / 9:26
z3Un_C784R8,English,,0:01 / 9:26
z3Un_C784R8,English,,0:02 / 9:26
z3Un_C784R8,English,,0:03 / 9:26
z3Un_C784R8,English,,0:04 / 9:26
z3Un_C784R8,English,,0:05 / 9:26
z3Un_C784R8,English,,0:06 / 9:26
z3Un_C784R8,English,**gasp**,0:06 / 9:26
z3Un_C784R8,English,**gasp**,0:07 / 9:26
z3Un_C784R8,English,,0:07 / 9:26
z3Un_C784R8,English,,0:08 / 9:26
z3Un_C784R8,English,,0:09 / 9:26
z3Un_C784R8,English,,0:10 / 9:26
z3Un_C784R8,English,Where? Where? ,0:11 / 9:26
z3Un_C784R8,English,Where? Where? ,0:12 / 9:26
z3Un_C784R8,English,Okay. Someone used the last of the toilet paper roll...,0:12 / 9:26
z3Un_C784R8,English,Okay. Someone used the last of the toilet paper roll...,0:13 / 9:26
z3Un_C784R8,English,Okay. Someone used the last of the toilet paper roll...,0:14 / 9:26
z3Un_C784R8,English,Okay. Someone used the last of the toilet paper roll...,0:15 / 9:26
z3Un_C784R8,English,,0:16 / 9:26
z3Un_C784R8,English,And didn't replace it.,0:17 / 9:26
z3Un_C784R8,English,*Group gasp*,0:18 / 9:26
z3Un_C784R8,English,*Group gasp*,0:19 / 9:26
z3Un_C784R8,English,,0:20 / 9:26
z3Un_C784R8,English,Red's sus!,0:20 / 9:26
z3Un_C784R8,English,Red's sus!,0:21 / 9:26
z3Un_C784R8,English,No. NO. Judah no! ,0:22 / 9:26
z3Un_C784R8,English,No. NO. Judah no! ,0:23 / 9:26
z3Un_C784R8,English,Red is not sus Judah- you say that every time!,0:23 / 9:26
z3Un_C784R8,English,Red is not sus Judah- you say that every time!,0:24 / 9:26
z3Un_C784R8,English,Red is not sus Judah- you say that every time!,0:25 / 9:26
z3Un_C784R8,English,But red is sus!,0:26 / 9:26
z3Un_C784R8,English,You always do this!,0:27 / 9:26
z3Un_C784R8,English,You always do this!,0:28 / 9:26
z3Un_C784R8,English,Does anybody have any real evidence- ideas--,0:28 / 9:26
z3Un_C784R8,English,Does anybody have any real evidence- ideas--,0:29 / 9:26
z3Un_C784R8,English,,0:29 / 9:26
z3Un_C784R8,English,,0:30 / 9:26
z3Un_C784R8,English,,0:31 / 9:26
z3Un_C784R8,English,Who's that guy?,0:31 / 9:26
z3Un_C784R8,English,Who's that guy?,0:32 / 9:26
z3Un_C784R8,English,,0:32 / 9:26
z3Un_C784R8,English,,0:33 / 9:26
z3Un_C784R8,English,,0:34 / 9:26
z3Un_C784R8,English,Did anybody invite him?,0:34 / 9:26
z3Un_C784R8,English,Did anybody invite him?,0:35 / 9:26
z3Un_C784R8,English,NO.. no. Not me. I didn't. No.,0:36 / 9:26
z3Un_C784R8,English,NO.. no. Not me. I didn't. No.,0:37 / 9:26
z3Un_C784R8,English,NO.. no. Not me. I didn't. No.,0:38 / 9:26
z3Un_C784R8,English,,0:38 / 9:26
z3Un_C784R8,English,,0:39 / 9:26
z3Un_C784R8,English,,0:40 / 9:26
z3Un_C784R8,English,,0:41 / 9:26
z3Un_C784R8,English,,0:42 / 9:26
z3Un_C784R8,English,,0:43 / 9:26
z3Un_C784R8,English,Alright. black... was...,0:44 / 9:26
z3Un_C784R8,English,Alright. black... was...,0:45 / 9:26
z3Un_C784R8,English,Alright. black... was...,0:46 / 9:26
z3Un_C784R8,English,Not the imposter.,0:46 / 9:26
z3Un_C784R8,English,Not the imposter.,0:47 / 9:26
z3Un_C784R8,English,,0:48 / 9:26
z3Un_C784R8,English,"Yeah, I'm okay with that.",0:49 / 9:26
z3Un_C784R8,English,"Yeah, I'm okay with that.",0:50 / 9:26
z3Un_C784R8,English,"Yeah, that guy was creepy... Yeah me too.",0:50 / 9:26
z3Un_C784R8,English,"Yeah, that guy was creepy... Yeah me too.",0:51 / 9:26
z3Un_C784R8,English,,0:52 / 9:26
z3Un_C784R8,English,Okay everybody you know the drill!,0:53 / 9:26
z3Un_C784R8,English,Mom gave us each a list of tasks. Get em done!,0:54 / 9:26
