video_id,lang,text,timecode
zQipW1cswZ8,English,,0:00 / 12:04
zQipW1cswZ8,English,LIAM: These episodes are just like the pure essence,0:01 / 12:04
zQipW1cswZ8,English,LIAM: These episodes are just like the pure essence,0:02 / 12:04
zQipW1cswZ8,English,of the characters and what we did together.,0:03 / 12:04
zQipW1cswZ8,English,of the characters and what we did together.,0:04 / 12:04
zQipW1cswZ8,English,of the characters and what we did together.,0:05 / 12:04
zQipW1cswZ8,English,SAM: It's a project unlike anything I've ever seen before.,0:05 / 12:04
zQipW1cswZ8,English,SAM: It's a project unlike anything I've ever seen before.,0:06 / 12:04
zQipW1cswZ8,English,SAM: It's a project unlike anything I've ever seen before.,0:07 / 12:04
zQipW1cswZ8,English,SAM: It's a project unlike anything I've ever seen before.,0:08 / 12:04
zQipW1cswZ8,English,"ASHLEY: It's so weird that it's happening, but it's so cool.",0:08 / 12:04
zQipW1cswZ8,English,"ASHLEY: It's so weird that it's happening, but it's so cool.",0:09 / 12:04
zQipW1cswZ8,English,"ASHLEY: It's so weird that it's happening, but it's so cool.",0:10 / 12:04
zQipW1cswZ8,English,"ASHLEY: It's so weird that it's happening, but it's so cool.",0:11 / 12:04
zQipW1cswZ8,English,"MATT: I'm getting impatient for the final thing to get done,",0:12 / 12:04
zQipW1cswZ8,English,"MATT: I'm getting impatient for the final thing to get done,",0:13 / 12:04
zQipW1cswZ8,English,"just so people can see it,",0:13 / 12:04
zQipW1cswZ8,English,"just so people can see it,",0:14 / 12:04
zQipW1cswZ8,English,and be as excited about it as we are.,0:15 / 12:04
zQipW1cswZ8,English,"MARY ELIZABETH: Your minds are gonna be blown, y'all!",0:16 / 12:04
zQipW1cswZ8,English,"MARY ELIZABETH: Your minds are gonna be blown, y'all!",0:17 / 12:04
zQipW1cswZ8,English,"MARY ELIZABETH: Your minds are gonna be blown, y'all!",0:18 / 12:04
zQipW1cswZ8,English,"MARY ELIZABETH: Your minds are gonna be blown, y'all!",0:19 / 12:04
zQipW1cswZ8,English,"MARY ELIZABETH: Your minds are gonna be blown, y'all!",0:20 / 12:04
zQipW1cswZ8,English,,0:21 / 12:04
zQipW1cswZ8,English,,0:22 / 12:04
zQipW1cswZ8,English,,0:23 / 12:04
zQipW1cswZ8,English,,0:24 / 12:04
zQipW1cswZ8,English,,0:25 / 12:04
zQipW1cswZ8,English,,0:26 / 12:04
zQipW1cswZ8,English,,0:27 / 12:04
zQipW1cswZ8,English,,0:28 / 12:04
zQipW1cswZ8,English,,0:29 / 12:04
zQipW1cswZ8,English,"MATT: As a person that has been a lifelong fan of cartoons,",0:30 / 12:04
zQipW1cswZ8,English,"MATT: As a person that has been a lifelong fan of cartoons,",0:31 / 12:04
zQipW1cswZ8,English,"MATT: As a person that has been a lifelong fan of cartoons,",0:32 / 12:04
zQipW1cswZ8,English,it's kind of been a dream to work on one,0:33 / 12:04
zQipW1cswZ8,English,it's kind of been a dream to work on one,0:34 / 12:04
zQipW1cswZ8,English,"from a production standpoint,",0:34 / 12:04
zQipW1cswZ8,English,"from a production standpoint,",0:35 / 12:04
zQipW1cswZ8,English,"from a production standpoint,",0:36 / 12:04
zQipW1cswZ8,English,let alone from a voiceover standpoint.,0:36 / 12:04
zQipW1cswZ8,English,let alone from a voiceover standpoint.,0:37 / 12:04
zQipW1cswZ8,English,"And now to kind of marry them all together,",0:37 / 12:04
zQipW1cswZ8,English,"And now to kind of marry them all together,",0:38 / 12:04
zQipW1cswZ8,English,"And now to kind of marry them all together,",0:39 / 12:04
zQipW1cswZ8,English,and have it be based on something,0:39 / 12:04
zQipW1cswZ8,English,and have it be based on something,0:40 / 12:04
zQipW1cswZ8,English,"that I kind of made up, is crazy.",0:40 / 12:04
zQipW1cswZ8,English,"that I kind of made up, is crazy.",0:41 / 12:04
zQipW1cswZ8,English,"that I kind of made up, is crazy.",0:42 / 12:04
zQipW1cswZ8,English,"that I kind of made up, is crazy.",0:43 / 12:04
zQipW1cswZ8,English,"that I kind of made up, is crazy.",0:44 / 12:04
zQipW1cswZ8,English,"ARTHUR: At end of the day,",0:45 / 12:04
zQipW1cswZ8,English,the creators of this property are professional voice actors.,0:45 / 12:04
zQipW1cswZ8,English,the creators of this property are professional voice actors.,0:46 / 12:04
zQipW1cswZ8,English,the creators of this property are professional voice actors.,0:47 / 12:04
zQipW1cswZ8,English,the creators of this property are professional voice actors.,0:48 / 12:04
zQipW1cswZ8,English,"And seeing them working on their own disparate projects is cool,",0:48 / 12:04
zQipW1cswZ8,English,"And seeing them working on their own disparate projects is cool,",0:49 / 12:04
zQipW1cswZ8,English,"And seeing them working on their own disparate projects is cool,",0:50 / 12:04
zQipW1cswZ8,English,"And seeing them working on their own disparate projects is cool,",0:51 / 12:04
zQipW1cswZ8,English,"but seeing them all in one room together,",0:52 / 12:04
zQipW1cswZ8,English,"but seeing them all in one room together,",0:53 / 12:04
zQipW1cswZ8,English,"but seeing them all in one room together,",0:54 / 12:04
zQipW1cswZ8,English,it's so good.,0:54 / 12:04
zQipW1cswZ8,English,it's so good.,0:55 / 12:04
zQipW1cswZ8,English,"LIAM: We are just a group of high-key nerds,",0:56 / 12:04
zQipW1cswZ8,English,"LIAM: We are just a group of high-key nerds,",0:57 / 12:04
zQipW1cswZ8,English,"LIAM: We are just a group of high-key nerds,",0:58 / 12:04
zQipW1cswZ8,English,"LIAM: We are just a group of high-key nerds,",0:59 / 12:04
zQipW1cswZ8,English,but we also happen to be good at what we do.,1:00 / 12:04
zQipW1cswZ8,English,but we also happen to be good at what we do.,1:01 / 12:04
zQipW1cswZ8,English,but we also happen to be good at what we do.,1:02 / 12:04
zQipW1cswZ8,English,but we also happen to be good at what we do.,1:03 / 12:04
zQipW1cswZ8,English,"It's like we're craftsmen who make tables,",1:04 / 12:04
zQipW1cswZ8,English,"It's like we're craftsmen who make tables,",1:05 / 12:04
zQipW1cswZ8,English,"except we are great with voice work,",1:05 / 12:04
zQipW1cswZ8,English,"except we are great with voice work,",1:06 / 12:04
zQipW1cswZ8,English,"except we are great with voice work,",1:07 / 12:04
zQipW1cswZ8,English,and now just endless improv with each other.,1:07 / 12:04
zQipW1cswZ8,English,and now just endless improv with each other.,1:08 / 12:04
zQipW1cswZ8,English,and now just endless improv with each other.,1:09 / 12:04
zQipW1cswZ8,English,and now just endless improv with each other.,1:10 / 12:04
zQipW1cswZ8,English,SAM: Voice acting as a character that I created,1:11 / 12:04
zQipW1cswZ8,English,SAM: Voice acting as a character that I created,1:12 / 12:04
zQipW1cswZ8,English,SAM: Voice acting as a character that I created,1:13 / 12:04
zQipW1cswZ8,English,"in a show that I helped create,",1:13 / 12:04
zQipW1cswZ8,English,"in a show that I helped create,",1:14 / 12:04
zQipW1cswZ8,English,"in a show that I helped create,",1:15 / 12:04
zQipW1cswZ8,English,"it's both the end of a long voice acting journey,",1:16 / 12:04
zQipW1cswZ8,English,"it's both the end of a long voice acting journey,",1:17 / 12:04
zQipW1cswZ8,English,"it's both the end of a long voice acting journey,",1:18 / 12:04
zQipW1cswZ8,English,and also the beginning of a new voice acting journey.,1:19 / 12:04
zQipW1cswZ8,English,and also the beginning of a new voice acting journey.,1:20 / 12:04
zQipW1cswZ8,English,and also the beginning of a new voice acting journey.,1:21 / 12:04
zQipW1cswZ8,English,"MARY ELIZABETH: Give us a couple, rolling on 45.",1:22 / 12:04
zQipW1cswZ8,English,"MARY ELIZABETH: Give us a couple, rolling on 45.",1:23 / 12:04
zQipW1cswZ8,English,"MATT: Finding a director for this project was challenging,",1:23 / 12:04
zQipW1cswZ8,English,"MATT: Finding a director for this project was challenging,",1:24 / 12:04
zQipW1cswZ8,English,"MATT: Finding a director for this project was challenging,",1:25 / 12:04
zQipW1cswZ8,English,partially because we have very good directors,1:25 / 12:04
zQipW1cswZ8,English,partially because we have very good directors,1:26 / 12:04
zQipW1cswZ8,English,partially because we have very good directors,1:27 / 12:04
zQipW1cswZ8,English,as part of our cast who do phenomenal work.,1:28 / 12:04
zQipW1cswZ8,English,as part of our cast who do phenomenal work.,1:29 / 12:04
zQipW1cswZ8,English,as part of our cast who do phenomenal work.,1:30 / 12:04
zQipW1cswZ8,English,But we all also understood that we wanted,1:31 / 12:04
zQipW1cswZ8,English,But we all also understood that we wanted,1:32 / 12:04
zQipW1cswZ8,English,somebody outside of the room who could,1:33 / 12:04
zQipW1cswZ8,English,somebody outside of the room who could,1:34 / 12:04
zQipW1cswZ8,English,somebody outside of the room who could,1:35 / 12:04
