"video_id","min_timecode","max_timecode","text.user","text.auto"
"zQipW1cswZ8","00:00:00","00:00:00","",""
"zQipW1cswZ8","00:00:01","00:00:02","LIAM: These episodes are just like the pure essence","these episodes are just like the pure"
"zQipW1cswZ8","00:00:03","00:00:05","of the characters and what we did together.","essence of the characters and what we did together it's a project"
"zQipW1cswZ8","00:00:05","00:00:08","SAM: It's a project unlike anything I've ever seen before.","unlike anything i've ever seen before it's"
"zQipW1cswZ8","00:00:08","00:00:11","ASHLEY: It's so weird that it's happening, but it's so cool.","so weird that it's happening but it's so cool i'm getting"
"zQipW1cswZ8","00:00:12","00:00:13","MATT: I'm getting impatient for the final thing to get done,","impatient for the final thing to get done just"
"zQipW1cswZ8","00:00:13","00:00:14","just so people can see it,","so people can see"
"zQipW1cswZ8","00:00:15","00:00:15","and be as excited about it as we are.","it and be as excited about it as"
"zQipW1cswZ8","00:00:16","00:00:20","MARY ELIZABETH: Your minds are gonna be blown, y'all!","we are your minds are gonna be blown y'all [Music]"
"zQipW1cswZ8","00:00:21","00:00:29","",""
"zQipW1cswZ8","00:00:30","00:00:32","MATT: As a person that has been a lifelong fan of cartoons,","as a person that has been a lifelong fan of cartoons it's"
"zQipW1cswZ8","00:00:33","00:00:34","it's kind of been a dream to work on one","kind of been a dream to work on one from a production"
"zQipW1cswZ8","00:00:34","00:00:36","from a production standpoint,","standpoint let alone from a voiceover"
"zQipW1cswZ8","00:00:36","00:00:37","let alone from a voiceover standpoint.","standpoint and now to kind"
"zQipW1cswZ8","00:00:37","00:00:39","And now to kind of marry them all together,","of marry them all together and have it be based"
"zQipW1cswZ8","00:00:39","00:00:40","and have it be based on something","on something"
"zQipW1cswZ8","00:00:40","00:00:44","that I kind of made up, is crazy.","that i kind of made up is crazy at the"
"zQipW1cswZ8","00:00:45","00:00:45","ARTHUR: At end of the day,","end of the day the creators of"
"zQipW1cswZ8","00:00:45","00:00:48","the creators of this property are professional voice actors.","this property are professional voice actors and seeing"
"zQipW1cswZ8","00:00:48","00:00:51","And seeing them working on their own disparate projects is cool,","them working on their own disparate projects is cool but"
"zQipW1cswZ8","00:00:52","00:00:54","but seeing them all in one room together,","seeing them all in one room together it's"
"zQipW1cswZ8","00:00:54","00:00:55","it's so good.","so"
"zQipW1cswZ8","00:00:56","00:00:59","LIAM: We are just a group of high-key nerds,","good we are just a group of high key nerds"
"zQipW1cswZ8","00:01:00","00:01:03","but we also happen to be good at what we do.","but we also happen to be you know good at what we do it's"
"zQipW1cswZ8","00:01:04","00:01:05","It's like we're craftsmen who make tables,","like we're craftsmen who make tables except"
"zQipW1cswZ8","00:01:05","00:01:07","except we are great with voice work,","we are great with voice work"
"zQipW1cswZ8","00:01:07","00:01:10","and now just endless improv with each other.","and and now just endless improv with each"
"zQipW1cswZ8","00:01:11","00:01:13","SAM: Voice acting as a character that I created","other voice acting as a character that i created in"
"zQipW1cswZ8","00:01:13","00:01:15","in a show that I helped create,","a show that i helped create"
"zQipW1cswZ8","00:01:16","00:01:18","it's both the end of a long voice acting journey,","it's both the end of a long voice acting journey and"
"zQipW1cswZ8","00:01:19","00:01:21","and also the beginning of a new voice acting journey.","also the beginning of a new voice acting journey give us a couple"
"zQipW1cswZ8","00:01:22","00:01:23","MARY ELIZABETH: Give us a couple, rolling on 45.","rolling on 45. finding a director"
"zQipW1cswZ8","00:01:23","00:01:25","MATT: Finding a director for this project was challenging,","for this project was challenging partially"
"zQipW1cswZ8","00:01:25","00:01:27","partially because we have very good directors","because we have very good directors"
"zQipW1cswZ8","00:01:28","00:01:30","as part of our cast who do phenomenal work.","as part of our cast who do phenomenal work but"
"zQipW1cswZ8","00:01:31","00:01:32","But we all also understood that we wanted","we also understood that we wanted"
"zQipW1cswZ8","00:01:33","00:01:35","somebody outside of the room who could","somebody outside of the room who could"
"zQipW1cswZ8","00:01:36","00:01:37","make us better than we could be on our own.","make us better than we could be on our"
"zQipW1cswZ8","00:01:38","00:01:39","TRAVIS: It was a very short list, and at the top of it, of course,","own it was a very short lesson at the top of it of course was"
"zQipW1cswZ8","00:01:40","00:01:42","was our good friend, Mary Elizabeth McGlynn.","our good friend mary elizabeth mcglinn i've been directing"
