,channelTitle,channelId,videoTitle,videoTitleLoc,videoId,videoSearchCategoryId,videoCategoryId,videoViews,videoQueryTime,videoTrendingRank,captionLang,captionType,id,videoCategory,assignable
0,DrakeVEVO,UCQznUf1SjfDqx65hX3zRDiA,Drake - Laugh Now Cry Later (Official Music Video) ft. Lil Durk,Drake - Laugh Now Cry Later (Official Music Video) ft. Lil Durk,JFm7YDVlqnI,0,10,10674978,2020-08-15 08:59:25,1,en,asr,10,Music,True
1,DrakeVEVO,UCQznUf1SjfDqx65hX3zRDiA,Drake - Laugh Now Cry Later (Official Music Video) ft. Lil Durk,Drake - Laugh Now Cry Later (Official Music Video) ft. Lil Durk,JFm7YDVlqnI,0,10,10674978,2020-08-15 08:59:25,1,en,standard,10,Music,True
2,Champions League on CBS Sports,UCET00YnetHT7tOpu12v8jxg,Barcelona vs. Bayern Munich | Champions League Quarterfinal Highlights | UCL on CBS Sports,Barcelona vs. Bayern Munich | Champions League Quarterfinal Highlights | UCL on CBS Sports,dYZlrfarCIs,0,17,1441389,2020-08-15 08:59:25,2,,,17,Sports,True
3,YoungBoy Never Broke Again,UClW4jraMKz6Qj69lJf-tODA,YoungBoy Never Broke Again - Kacey talk,YoungBoy Never Broke Again - Kacey talk,0C80BSgjb8M,0,10,4334878,2020-08-15 08:59:25,3,ru,asr,10,Music,True
4,Apex Legends,UC0ZV6M2THA81QT9hrVWJG3A,Apex Legends Season 6 – Boosted Gameplay Trailer,Apex Legends Season 6 – Boosted Gameplay Trailer,SCUXdRb5abU,0,20,2414511,2020-08-15 08:59:25,4,da,standard,20,Gaming,True
5,Apex Legends,UC0ZV6M2THA81QT9hrVWJG3A,Apex Legends Season 6 – Boosted Gameplay Trailer,Apex Legends Season 6 – Boosted Gameplay Trailer,SCUXdRb5abU,0,20,2414511,2020-08-15 08:59:25,4,de,standard,20,Gaming,True
6,Apex Legends,UC0ZV6M2THA81QT9hrVWJG3A,Apex Legends Season 6 – Boosted Gameplay Trailer,Apex Legends Season 6 – Boosted Gameplay Trailer,SCUXdRb5abU,0,20,2414511,2020-08-15 08:59:25,4,en,standard,20,Gaming,True
7,Apex Legends,UC0ZV6M2THA81QT9hrVWJG3A,Apex Legends Season 6 – Boosted Gameplay Trailer,Apex Legends Season 6 – Boosted Gameplay Trailer,SCUXdRb5abU,0,20,2414511,2020-08-15 08:59:25,4,es-ES,standard,20,Gaming,True
8,Apex Legends,UC0ZV6M2THA81QT9hrVWJG3A,Apex Legends Season 6 – Boosted Gameplay Trailer,Apex Legends Season 6 – Boosted Gameplay Trailer,SCUXdRb5abU,0,20,2414511,2020-08-15 08:59:25,4,es-MX,standard,20,Gaming,True
9,Apex Legends,UC0ZV6M2THA81QT9hrVWJG3A,Apex Legends Season 6 – Boosted Gameplay Trailer,Apex Legends Season 6 – Boosted Gameplay Trailer,SCUXdRb5abU,0,20,2414511,2020-08-15 08:59:25,4,fr-FR,standard,20,Gaming,True
10,Apex Legends,UC0ZV6M2THA81QT9hrVWJG3A,Apex Legends Season 6 – Boosted Gameplay Trailer,Apex Legends Season 6 – Boosted Gameplay Trailer,SCUXdRb5abU,0,20,2414511,2020-08-15 08:59:25,4,it,standard,20,Gaming,True
11,Apex Legends,UC0ZV6M2THA81QT9hrVWJG3A,Apex Legends Season 6 – Boosted Gameplay Trailer,Apex Legends Season 6 – Boosted Gameplay Trailer,SCUXdRb5abU,0,20,2414511,2020-08-15 08:59:25,4,ja,standard,20,Gaming,True
12,Apex Legends,UC0ZV6M2THA81QT9hrVWJG3A,Apex Legends Season 6 – Boosted Gameplay Trailer,Apex Legends Season 6 – Boosted Gameplay Trailer,SCUXdRb5abU,0,20,2414511,2020-08-15 08:59:25,4,ko,standard,20,Gaming,True
13,Apex Legends,UC0ZV6M2THA81QT9hrVWJG3A,Apex Legends Season 6 – Boosted Gameplay Trailer,Apex Legends Season 6 – Boosted Gameplay Trailer,SCUXdRb5abU,0,20,2414511,2020-08-15 08:59:25,4,nl-NL,standard,20,Gaming,True
14,Apex Legends,UC0ZV6M2THA81QT9hrVWJG3A,Apex Legends Season 6 – Boosted Gameplay Trailer,Apex Legends Season 6 – Boosted Gameplay Trailer,SCUXdRb5abU,0,20,2414511,2020-08-15 08:59:25,4,pl,standard,20,Gaming,True
15,Apex Legends,UC0ZV6M2THA81QT9hrVWJG3A,Apex Legends Season 6 – Boosted Gameplay Trailer,Apex Legends Season 6 – Boosted Gameplay Trailer,SCUXdRb5abU,0,20,2414511,2020-08-15 08:59:25,4,pt-BR,standard,20,Gaming,True
16,Apex Legends,UC0ZV6M2THA81QT9hrVWJG3A,Apex Legends Season 6 – Boosted Gameplay Trailer,Apex Legends Season 6 – Boosted Gameplay Trailer,SCUXdRb5abU,0,20,2414511,2020-08-15 08:59:25,4,pt,standard,20,Gaming,True
17,Apex Legends,UC0ZV6M2THA81QT9hrVWJG3A,Apex Legends Season 6 – Boosted Gameplay Trailer,Apex Legends Season 6 – Boosted Gameplay Trailer,SCUXdRb5abU,0,20,2414511,2020-08-15 08:59:25,4,ru,standard,20,Gaming,True
