channelTitle,channelId,videoTitle,videoTitleLoc,videoId,videoSearchCategoryId,videoCategoryId,videoViews,videoQueryTime,videoTrendingRank,captionLang,captionType,id,videoCategory,assignable
Let's Game It Out,UCto7D1L-MiRoOziCXK9uT5Q,I Completely Broke the Entire Game with Just 1 Item in Raft,I Completely Broke the Entire Game with Just 1 Item in Raft,2-uQ70LZEyc,0,20,2854998,2022-08-10 12:05:41,1,en,asr,20,Gaming,True
CoryxKenshin,UCiYcA0gJzg855iSKMrX3oHg,To The Samurai Community,To The Samurai Community,A3fcrCsOgpg,0,20,4998848,2022-08-10 12:05:41,2,en,asr,20,Gaming,True
AMP,UCJbYdyufHR-cxOuY96KIoqA,AMP LOVE & BOXING,AMP LOVE & BOXING,IjKjsFdecIA,0,24,1247814,2022-08-10 12:05:41,3,en,asr,24,Entertainment,True
RodWave,UCenjunBhBhvKjfDAESnoppw,Rod Wave - Alone (Official Video),Rod Wave - Alone (Official Video),w5Ft8tuWRMQ,0,10,1391995,2022-08-10 12:05:41,4,en,asr,10,Music,True
Xeela Fitness,UCrXElbXvCkFQ_tktnqekTtQ,Insane 4 month body transformation (Heath Hussar),Insane 4 month body transformation (Heath Hussar),8RfmGdilDCY,0,22,340500,2022-08-10 12:05:41,5,en,asr,22,People & Blogs,True
Good Morning America,UCH1oRy1dINbMVp3UFWrKP0w,Jennette McCurdy gets candid about life as a child star in new memoir,Jennette McCurdy gets candid about life as a child star in new memoir,gtMJwdP8TCs,0,24,817109,2022-08-10 12:05:41,6,en,asr,24,Entertainment,True
9 News Australia,UCIYLOcEUX6TbBo7HQVF2PKA,Olivia Newton-John dies aged 73 | 9 News Australia,Olivia Newton-John dies aged 73 | 9 News Australia,91pBZdSGVGc,0,25,1365204,2022-08-10 12:05:41,7,en,asr,25,News & Politics,True
LastWeekTonight,UC3XTzVzaHQEd30rQbuvCtTQ,Monkeypox: Last Week Tonight with John Oliver (HBO),Monkeypox: Last Week Tonight with John Oliver (HBO),pQcFCFZIuZI,0,24,3179623,2022-08-10 12:05:41,8,en,asr,24,Entertainment,True
JIDVEVO,UCqTVLEx7lQPmYzc_m6T4sug,JID - Dance Now (Official Video),JID - Dance Now (Official Video),EVlGLtCnN-Y,0,10,399764,2022-08-10 12:05:41,9,en,asr,10,Music,True
JIDVEVO,UCqTVLEx7lQPmYzc_m6T4sug,JID - Dance Now (Official Video),JID - Dance Now (Official Video),EVlGLtCnN-Y,0,10,399764,2022-08-10 12:05:41,9,en,standard,10,Music,True
